  ====================================================
  TEXSTAN(academic)
  s10.dat, lam, Blasius, Ts(x)                                            
  stepsize: constant, dx=  .100
  entrainment based only on mom + energy eqns;   enfra= 1.00E-06  fra=  .010
  dpdx: not-a-knot spline curve fit
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 6.00000E-01  vis= 1.30000E-05  sp_ht= 2.00300E+03
     prc(je)=    1.000
  initial profiles: kstart=  4  dyi= 5.000E-05  rate=  .0900
  laminar flow at xstart, transition not possible
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  Stanton number and htc based on (ts-tinf)
  ====================================================

  intg x         rem       cf2       h12       reh        st
     0 1.041E-03 1.783E+01 1.237E-02 2.590E+00 1.784E+01  1.237E-02

    i  y(i)      u(i)      eta       f(eta)    g(eta)    c(eta)       
    25 4.407E-06 8.164E-02 1.640E-02 5.443E-03 5.443E-03  0.000E+00
    26 4.861E-06 9.005E-02 1.809E-02 6.003E-03 6.003E-03  0.000E+00
    27 5.356E-06 9.922E-02 1.993E-02 6.614E-03 6.614E-03  0.000E+00
    28 5.895E-06 1.092E-01 2.194E-02 7.280E-03 7.280E-03  0.000E+00
    29 6.483E-06 1.201E-01 2.412E-02 8.006E-03 8.006E-03  0.000E+00
    30 7.123E-06 1.320E-01 2.651E-02 8.798E-03 8.798E-03  0.000E+00
    31 7.822E-06 1.449E-01 2.911E-02 9.660E-03 9.660E-03  0.000E+00
    32 8.583E-06 1.590E-01 3.194E-02 1.060E-02 1.060E-02  0.000E+00
    33 9.413E-06 1.744E-01 3.503E-02 1.163E-02 1.163E-02  0.000E+00
    34 1.032E-05 1.911E-01 3.839E-02 1.274E-02 1.274E-02  0.000E+00
    35 1.130E-05 2.094E-01 4.206E-02 1.396E-02 1.396E-02  0.000E+00
    36 1.238E-05 2.293E-01 4.606E-02 1.529E-02 1.529E-02  0.000E+00
    37 1.355E-05 2.510E-01 5.042E-02 1.673E-02 1.673E-02  0.000E+00
    38 1.483E-05 2.747E-01 5.517E-02 1.831E-02 1.831E-02  0.000E+00
    39 1.622E-05 3.004E-01 6.034E-02 2.003E-02 2.003E-02  0.000E+00
    40 1.773E-05 3.285E-01 6.599E-02 2.190E-02 2.190E-02  0.000E+00
    41 1.939E-05 3.592E-01 7.214E-02 2.394E-02 2.394E-02  0.000E+00
    42 2.119E-05 3.925E-01 7.885E-02 2.617E-02 2.617E-02  0.000E+00
    43 2.315E-05 4.289E-01 8.616E-02 2.860E-02 2.860E-02  0.000E+00
    44 2.529E-05 4.686E-01 9.412E-02 3.124E-02 3.124E-02  0.000E+00
